step,train_rmse,oob_rmse,model,val_rmse,train_loss,val_r2
19,,,MLP-Shallow,,1.1271364680774671,0.6291121285035213
20,,,MLP-Shallow,,1.116780794457865,0.6297173261035081
21,,,MLP-Shallow,,1.11735497171626,0.6281173907235653
22,,,MLP-Shallow,,1.1163920010557475,0.6311969093207905
23,,,MLP-Shallow,,1.0993789581601556,0.6239064686111979
24,,,MLP-Shallow,,1.0953329768392508,0.6345714132988186
25,,,MLP-Shallow,,1.0930468979006527,0.6268121075070422
26,,,MLP-Shallow,,1.0892356270336894,0.6283957081012217
27,,,MLP-Shallow,,1.0798177870112053,0.6257069113043133
28,,,MLP-Shallow,,1.0745947252090042,0.6248579663508447
29,,,MLP-Shallow,,1.0808404908504337,0.6283920760014243
30,,,MLP-Shallow,,1.0664023223076113,0.6295920465779744
31,,,MLP-Shallow,,1.0612866244228638,0.6196308770445831
32,,,MLP-Shallow,,1.0614244621976523,0.6144892069279009
33,,,MLP-Shallow,,1.0561223347365258,0.6255318154855647
34,,,MLP-Shallow,,1.046026858456207,0.6241830760485654
35,,,MLP-Shallow,,1.0452549614418594,0.6215203331270438
1,,,MLP-Deep,,3.456772394850736,0.48825566031392564
2,,,MLP-Deep,,1.4885235012519935,0.6139837152745804
3,,,MLP-Deep,,1.262001255844118,0.6299257116707373
4,,,MLP-Deep,,1.22641007176553,0.6317524542691524
5,,,MLP-Deep,,1.2120563798144401,0.635394755257606
6,,,MLP-Deep,,1.19479531278208,0.6297306971566676
7,,,MLP-Deep,,1.1896063563546264,0.6351469953932154
8,,,MLP-Deep,,1.1799570166578077,0.6442079859239604
9,,,MLP-Deep,,1.1637670233478576,0.637117335458055
10,,,MLP-Deep,,1.1574401097690648,0.6337786501022075
11,,,MLP-Deep,,1.1408442733808433,0.6338690457864145
12,,,MLP-Deep,,1.1324048432585652,0.6303818165022805
13,,,MLP-Deep,,1.1194840299448163,0.6140664013214046
14,,,MLP-Deep,,1.108967478398159,0.6430626416092591
15,,,MLP-Deep,,1.0915913455800332,0.6352198132627742
16,,,MLP-Deep,,1.084665089272997,0.6359023901329208
17,,,MLP-Deep,,1.0739021008950205,0.6403269218117469
18,,,MLP-Deep,,1.0551940488710054,0.645156704628328
19,,,MLP-Deep,,1.0586587678877848,0.6348301949828963
20,,,MLP-Deep,,1.035223903471528,0.6378316959777679
21,,,MLP-Deep,,1.0412854620924936,0.6318914522395676
